proprietaryname,proprietarynamesuffix,nonproprietaryname,dosageformname,routename,startmarketingdate,endmarketingdate,substancename,active_numerator_strength,active_ingred_unit,pharm_classes
Amyvid,,Florbetapir F 18,"INJECTION, SOLUTION",INTRAVENOUS,20120601,,FLORBETAPIR F-18,51,mCi/mL,"Radioactive Diagnostic Agent [EPC],Positron Emitting Activity [MoA]"
Quinidine Gluconate,,Quinidine Gluconate,SOLUTION,INTRAVENOUS,19510301,,QUINIDINE GLUCONATE,80,mg/mL,"Antiarrhythmic [EPC],Cytochrome P450 2D6 Inhibitor [EPC],Cytochrome P450 2D6 Inhibitors [MoA]"
Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20141107,,DULAGLUTIDE,0.75,mg/.5mL,
Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20141107,,DULAGLUTIDE,1.5,mg/.5mL,
AXIRON,,testosterone,SOLUTION,TOPICAL,20101201,,TESTOSTERONE,30,mg/1.5mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]"
Prozac,Weekly,Fluoxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20010316,,FLUOXETINE HYDROCHLORIDE,90,mg/1,"Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20030110,,ATOMOXETINE HYDROCHLORIDE,10,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20030110,,ATOMOXETINE HYDROCHLORIDE,25,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20030110,,ATOMOXETINE HYDROCHLORIDE,40,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20070409,,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,25; 3,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20040119,,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,25; 6,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20040119,,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,25; 12,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20040119,,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,50; 6,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20040119,,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,50; 12,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20040824,,DULOXETINE HYDROCHLORIDE,20,mg/1,"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20030110,,ATOMOXETINE HYDROCHLORIDE,18,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20030110,,ATOMOXETINE HYDROCHLORIDE,60,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20040824,,DULOXETINE HYDROCHLORIDE,30,mg/1,"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20060301,,ATOMOXETINE HYDROCHLORIDE,80,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20060301,,ATOMOXETINE HYDROCHLORIDE,100,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"
Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20100115,,DULOXETINE HYDROCHLORIDE,60,mg/1,"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"
Zyprexa,,Olanzapine,TABLET,ORAL,19970623,,OLANZAPINE,2.5,mg/1,Atypical Antipsychotic [EPC]
Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,OLANZAPINE,5,mg/1,Atypical Antipsychotic [EPC]
Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,OLANZAPINE,7.5,mg/1,Atypical Antipsychotic [EPC]
Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,OLANZAPINE,10,mg/1,Atypical Antipsychotic [EPC]
Evista,,Raloxifene hydrochloride,TABLET,ORAL,19980106,,RALOXIFENE HYDROCHLORIDE,60,mg/1,"Estrogen Agonist/Antagonist [EPC],Selective Estrogen Receptor Modulators [MoA]"
Zyprexa,,Olanzapine,TABLET,ORAL,20000110,,OLANZAPINE,15,mg/1,Atypical Antipsychotic [EPC]
Zyprexa,,Olanzapine,TABLET,ORAL,20010301,,OLANZAPINE,20,mg/1,Atypical Antipsychotic [EPC]
ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20000601,,OLANZAPINE,5,mg/1,Atypical Antipsychotic [EPC]
ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20000601,,OLANZAPINE,10,mg/1,Atypical Antipsychotic [EPC]
ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20010901,,OLANZAPINE,15,mg/1,Atypical Antipsychotic [EPC]
ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20010901,,OLANZAPINE,20,mg/1,Atypical Antipsychotic [EPC]
Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,TADALAFIL,5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"
Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,TADALAFIL,10,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"
Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,TADALAFIL,20,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"
Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20080107,,TADALAFIL,2.5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"
Livalo,,pitavastatin calcium,"TABLET, FILM COATED",ORAL,20100515,,PITAVASTATIN CALCIUM,1,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Livalo,,pitavastatin calcium,"TABLET, FILM COATED",ORAL,20100515,,PITAVASTATIN CALCIUM,2,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Livalo,,pitavastatin calcium,"TABLET, FILM COATED",ORAL,20100515,,PITAVASTATIN CALCIUM,4,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Effient,,Prasugrel hydrochloride,"TABLET, FILM COATED",ORAL,20120301,,PRASUGREL HYDROCHLORIDE,5,mg/1,"Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]"
Effient,,Prasugrel hydrochloride,"TABLET, FILM COATED",ORAL,20120301,,PRASUGREL HYDROCHLORIDE,10,mg/1,"Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]"
Strattera,,Atomoxetine hydrochloride,KIT,ORAL,20140831,,,,,
Strattera,,Atomoxetine hydrochloride,KIT,ORAL,20140831,,,,,
Strattera,,Atomoxetine hydrochloride,KIT,ORAL,20140831,,,,,
REOPRO,,abciximab,"INJECTION, SOLUTION",INTRAVENOUS,19931216,,ABCIXIMAB,2,mg/mL,
HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,19870401,,,,,
Gemzar,,Gemcitabine hydrochloride,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19960522,,GEMCITABINE HYDROCHLORIDE,200,mg/5mL,"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"
Gemzar,,Gemcitabine hydrochloride,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19960522,,GEMCITABINE HYDROCHLORIDE,1,g/25mL,"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"
Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,19960724,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
Humalog,Mix75/25,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,19991222,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
Humalog,Mix50/50,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,20060207,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,19980220,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
ZYPREXA,Intramuscular,Olanzapine,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,20040401,,OLANZAPINE,10,mg/2mL,Atypical Antipsychotic [EPC]
Alimta,,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20040213,,PEMETREXED DISODIUM HEPTAHYDRATE,500,mg/20mL,"Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]"
ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20100301,,,,,
ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20100301,,,,,
ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20100301,,,,,
Alimta,,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20080115,,PEMETREXED DISODIUM HEPTAHYDRATE,100,mg/4mL,"Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]"
CYRAMZA,,ramucirumab,SOLUTION,INTRAVENOUS,20140421,,RAMUCIRUMAB,10,mg/mL,"Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]"
CYRAMZA,,ramucirumab,SOLUTION,INTRAVENOUS,20140421,,RAMUCIRUMAB,10,mg/mL,"Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]"
Glucagon,,glucagon,KIT,,19990301,,,,,
HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,20060127,,,,,
HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,20060127,,,,,
HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,20060127,,,,,
Humulin,R,Insulin human,"INJECTION, SOLUTION",PARENTERAL,19830627,,INSULIN HUMAN,100,[iU]/mL,
Humulin,N,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,19830627,,INSULIN HUMAN,100,[iU]/mL,
Forteo,,Teriparatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20081001,,TERIPARATIDE,250,ug/mL,"Parathyroid Hormone [Chemical/Ingredient],Parathyroid Hormone Analog [EPC]"
Humulin,R U-500,Insulin human,"INJECTION, SOLUTION",SUBCUTANEOUS,19970106,,INSULIN HUMAN,500,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin [EPC]"
Humulin,70/30,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,19890626,,INSULIN HUMAN,100,[iU]/mL,
Humulin,N,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,19990201,20151031,INSULIN HUMAN,100,[iU]/mL,
Humulin,70/30,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,19990201,20151031,INSULIN HUMAN,100,[iU]/mL,
Humalog,Mix75/25 KwikPen,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,20080116,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
Humalog,Mix50/50 KwikPen,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,20060207,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
Humalog,KwikPen,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,20080116,,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"
Humulin,70/30,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,20131107,,INSULIN HUMAN,100,[iU]/mL,
Humulin,N,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,20131107,,INSULIN HUMAN,100,[iU]/mL,
HALOG,,Halcinonide,SOLUTION,TOPICAL,20090101,,HALCINONIDE,1,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
KENALOG-40,,TRIAMCINOLONE ACETONIDE,"INJECTION, SUSPENSION",INTRA-ARTICULAR; INTRAMUSCULAR,20090601,,TRIAMCINOLONE ACETONIDE,40,mg/mL,
NULOJIX,,BELATACEPT,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20110615,,BELATACEPT,250,mg/1,"T Lymphocyte Costimulation Activity Blockade [PE],Selective T Cell Costimulation Blocker [EPC],CD80-directed Antibody Interactions [MoA],CD86-directed Antibody Interactions [MoA]"
KENALOG-10,,TRIAMCINOLONE ACETONIDE,"INJECTION, SUSPENSION",INTRA-ARTICULAR; INTRALESIONAL,20090601,,TRIAMCINOLONE ACETONIDE,10,mg/mL,
SPRYCEL,,dasatinib,TABLET,ORAL,20060627,,DASATINIB,70,mg/1,"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA]"
SPRYCEL,,dasatinib,TABLET,ORAL,20060627,,DASATINIB,20,mg/1,"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA]"
SPRYCEL,,dasatinib,TABLET,ORAL,20060627,,DASATINIB,50,mg/1,"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA]"
HYDREA,,HYDROXYUREA,CAPSULE,ORAL,20090601,,HYDROXYUREA,500,mg/1,"Antimetabolite [EPC],Urea [Chemical/Ingredient]"
SPRYCEL,,dasatinib,TABLET,ORAL,20080530,,DASATINIB,100,mg/1,"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA]"
SPRYCEL,,dasatinib,TABLET,ORAL,20101028,,DASATINIB,80,mg/1,"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA]"
SPRYCEL,,dasatinib,TABLET,ORAL,20101028,,DASATINIB,140,mg/1,"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA]"
